"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN022023000","NEW DELHI PALAM, IN","2020-10-28",,"72","87","59"
"IN022023000","NEW DELHI PALAM, IN","2020-10-29",,"71","86","59"
"IN022023000","NEW DELHI PALAM, IN","2020-10-30",,"73",,"59"
"IN022023000","NEW DELHI PALAM, IN","2020-10-31",,"71",,"58"
"IN022023000","NEW DELHI PALAM, IN","2020-11-01",,"71",,"57"
"IN022023000","NEW DELHI PALAM, IN","2020-11-02",,"67","83",
"IN022023000","NEW DELHI PALAM, IN","2020-11-03",,"70",,"55"
"IN022023000","NEW DELHI PALAM, IN","2020-11-04",,"67","87",
"IN022023000","NEW DELHI PALAM, IN","2020-11-05",,"68",,"56"
"IN022023000","NEW DELHI PALAM, IN","2020-11-06",,"68",,
"IN022023000","NEW DELHI PALAM, IN","2020-11-07",,"69","83",
"IN022023000","NEW DELHI PALAM, IN","2020-11-08",,"68","83",
"IN022023000","NEW DELHI PALAM, IN","2020-11-09",,"65",,"55"
"IN022023000","NEW DELHI PALAM, IN","2020-11-10",,"66",,
"IN022023000","NEW DELHI PALAM, IN","2020-11-11",,"67",,
"IN022023000","NEW DELHI PALAM, IN","2020-11-12",,"69","81","58"
"IN022023000","NEW DELHI PALAM, IN","2020-11-13",,"67",,
"IN022023000","NEW DELHI PALAM, IN","2020-11-14",,"66",,
"IN022023000","NEW DELHI PALAM, IN","2020-11-15",,"70",,"59"
"IN022023000","NEW DELHI PALAM, IN","2020-11-16","0.08","68","81",
"IN022023000","NEW DELHI PALAM, IN","2020-11-17","0.00","66",,
"IN022023000","NEW DELHI PALAM, IN","2020-11-18",,"63","76","55"
"IN022023000","NEW DELHI PALAM, IN","2020-11-19",,"63",,"54"
"IN022023000","NEW DELHI PALAM, IN","2020-11-20",,"63",,
"IN022023000","NEW DELHI PALAM, IN","2020-11-21",,"61","74",
"IN022023000","NEW DELHI PALAM, IN","2020-11-22",,"60","74","48"
"IN022023000","NEW DELHI PALAM, IN","2020-11-23",,"60",,
"IN022023000","NEW DELHI PALAM, IN","2020-11-24",,"63",,"49"
"IN022023000","NEW DELHI PALAM, IN","2020-11-25",,"65","75","56"
"IN022023000","NEW DELHI PALAM, IN","2020-11-26",,"66",,
"IN022023000","NEW DELHI PALAM, IN","2020-11-27",,"63",,"52"
"IN022023000","NEW DELHI PALAM, IN","2020-11-28",,"63",,"51"
"IN022023000","NEW DELHI PALAM, IN","2020-11-29",,"61",,"48"
"IN022023000","NEW DELHI PALAM, IN","2020-11-30",,"61",,
"IN022023000","NEW DELHI PALAM, IN","2020-12-01",,"62",,"51"
"IN022023000","NEW DELHI PALAM, IN","2020-12-02",,"64",,"51"
"IN022023000","NEW DELHI PALAM, IN","2020-12-03",,"63",,
"IN022023000","NEW DELHI PALAM, IN","2020-12-04",,"65",,
"IN022023000","NEW DELHI PALAM, IN","2020-12-05",,"66",,"56"
"IN022023000","NEW DELHI PALAM, IN","2020-12-06",,"67",,
"IN022023000","NEW DELHI PALAM, IN","2020-12-07",,"63","77",
"IN022023000","NEW DELHI PALAM, IN","2020-12-08",,"64",,"55"
"IN022023000","NEW DELHI PALAM, IN","2020-12-09",,"66",,"54"
"IN022023000","NEW DELHI PALAM, IN","2020-12-10",,"67",,
"IN022023000","NEW DELHI PALAM, IN","2020-12-11",,"65","78","57"
"IN022023000","NEW DELHI PALAM, IN","2020-12-12",,"62",,
"IN022023000","NEW DELHI PALAM, IN","2020-12-13",,"57","70",
"IN022023000","NEW DELHI PALAM, IN","2020-12-14",,"56","65","49"
"IN022023000","NEW DELHI PALAM, IN","2020-12-15",,"53","63","44"
"IN022023000","NEW DELHI PALAM, IN","2020-12-16",,"51",,"43"
"IN022023000","NEW DELHI PALAM, IN","2020-12-17",,"48","61","40"
"IN022023000","NEW DELHI PALAM, IN","2020-12-18",,"53",,
"IN022023000","NEW DELHI PALAM, IN","2020-12-19",,"54",,"42"
"IN022023000","NEW DELHI PALAM, IN","2020-12-20",,"56",,"43"
"IN022023000","NEW DELHI PALAM, IN","2020-12-21",,"56",,"47"
"IN022023000","NEW DELHI PALAM, IN","2020-12-22",,"56",,"46"
"IN022023000","NEW DELHI PALAM, IN","2020-12-23",,"57",,"45"
"IN022023000","NEW DELHI PALAM, IN","2020-12-24",,"56",,"45"
"IN022023000","NEW DELHI PALAM, IN","2020-12-25",,"55",,"44"
"IN022023000","NEW DELHI PALAM, IN","2020-12-26",,"55","69","44"
"IN022023000","NEW DELHI PALAM, IN","2020-12-27",,"59",,"47"
"IN022023000","NEW DELHI PALAM, IN","2020-12-28",,"54","68","43"
"IN022023000","NEW DELHI PALAM, IN","2020-12-29",,"50","65","41"
"IN022023000","NEW DELHI PALAM, IN","2020-12-30",,"50","61",
"IN022023000","NEW DELHI PALAM, IN","2020-12-31",,"49","59","42"
"IN022023000","NEW DELHI PALAM, IN","2021-01-01",,"52",,"39"
